created_at,entry_id,Temperature,PH,Turbidity,Flow,TDS,Pressure,Volume,Colar
2022-02-05 07:03:27 UTC,142,24.12,6.73,2257.92,3,1057.17,509.97,4.12,85
2022-02-05 07:03:49 UTC,143,24.12,6.8,2285.38,3,1105.65,509.26,4.11,101
2022-02-05 07:04:10 UTC,144,24.12,6.84,2172.46,3,1138.11,509.13,4.12,174
2022-02-05 07:04:31 UTC,145,24.12,6.86,2172.46,3,1162.26,509.69,11.9,83
2022-02-05 07:04:52 UTC,146,24.12,6.81,1955.05,3,1244.05,509.98,11.9,78
2022-02-05 07:05:13 UTC,147,24.12,6.82,1854.15,3,1270.25,508.98,11.89,76
2022-02-05 07:05:34 UTC,148,24.06,6.9,1748.63,3,1286.74,508.65,4.14,77
2022-02-05 07:05:56 UTC,149,24.06,6.87,1888.3,3,1286.74,508.79,4.12,76
2022-02-05 07:06:32 UTC,150,24.06,6.89,1151.57,3,0,509.33,4.12,84
2022-02-05 07:06:53 UTC,151,24.06,6.89,1748.63,3,0,509.24,4.11,83
2022-02-05 07:07:11 UTC,152,24.06,6.88,1675.71,2,0,509.38,11.89,80
2022-02-05 07:07:30 UTC,153,24.06,6.83,1600.73,2,0,509.9,11.9,78
2022-02-05 07:07:48 UTC,154,24.06,6.82,1562.47,2,0,509.92,11.9,76
2022-02-05 07:08:08 UTC,155,24.06,6.79,1523.69,2,0,509.92,4.11,78
2022-02-05 07:08:26 UTC,156,24.06,6.76,1444.6,2,0,510,11.89,71
2022-02-05 07:08:45 UTC,157,24,6.79,1363.45,2,0,509.88,11.9,75
2022-02-05 07:09:03 UTC,158,24.06,6.81,1363.45,1,1117.03,509.79,4.12,73
2022-02-05 07:09:22 UTC,159,24,6.8,1363.45,3,1183.28,510.25,11.89,76
2022-02-05 07:09:41 UTC,160,24,6.79,1322.1,3,1192.63,509.54,11.9,74
2022-02-05 07:09:59 UTC,161,24,6.82,1280.24,3,1250.19,509.42,4.13,77
2022-02-05 07:10:17 UTC,162,24,6.79,1280.24,1,1283.26,508.92,11.9,78
2022-02-05 07:10:36 UTC,163,24,6.77,1921.93,2,1293.33,509.59,11.9,132
2022-02-05 07:10:55 UTC,164,24,6.82,1638.48,0,1300.08,510.15,11.89,74
2022-02-05 07:11:13 UTC,165,24,6.82,1523.69,2,1327.42,510.21,4.13,72
2022-02-05 07:11:33 UTC,166,24,6.82,1523.69,2,1306.87,509.87,4.13,74
2022-02-05 07:11:51 UTC,167,24,6.78,1523.69,2,1320.54,510.06,11.9,73
2022-02-05 07:12:09 UTC,168,24,6.82,1444.6,2,1303.47,510.09,11.9,72
2022-02-05 07:12:28 UTC,169,24,6.85,1363.45,2,1323.98,509.32,4.13,75
2022-02-05 07:12:46 UTC,170,23.94,6.75,1107.65,2,1327.34,508.68,4.12,76
2022-02-05 07:13:05 UTC,171,23.94,6.8,1107.65,1,1327.34,508.29,4.14,76
2022-02-05 07:13:23 UTC,172,23.94,6.81,1018.26,1,1306.76,508.23,4.12,78
2022-02-05 07:13:42 UTC,173,23.94,6.88,972.8,3,1327.34,507.9,11.9,76
2022-02-05 07:14:00 UTC,174,23.94,6.85,926.82,3,1344.71,508.12,4.12,79
2022-02-05 07:14:19 UTC,175,23.94,6.77,833.32,3,1348.21,508.36,11.9,80
2022-02-05 07:14:38 UTC,176,23.94,6.86,1107.65,3,1348.21,509.13,4.12,84
2022-02-05 07:14:57 UTC,177,23.94,6.84,737.76,3,1344.71,509.06,11.9,74
2022-02-05 07:15:17 UTC,178,23.94,6.85,689.21,2,1344.71,509.68,11.9,72
2022-02-05 07:15:35 UTC,179,23.87,6.83,590.57,2,1369.34,509.43,11.9,72
2022-02-05 07:15:53 UTC,180,23.94,6.84,590.57,2,1348.21,509.86,4.12,73
2022-02-05 07:16:12 UTC,181,23.94,6.88,540.48,1,1348.21,509.58,11.9,79
2022-02-05 07:17:09 UTC,182,23.87,6.87,121.21,2,1348.21,508.55,11.9,110
2022-02-05 07:17:31 UTC,183,23.87,6.84,540.48,2,1348.21,508.37,4.13,112
2022-02-05 07:17:53 UTC,184,23.87,6.89,334.96,2,1348.21,507.76,4.12,73
2022-02-05 07:18:15 UTC,185,23.87,6.84,334.96,3,1348.21,508.18,4.13,73
2022-02-05 07:18:38 UTC,186,23.87,6.84,334.96,3,0,509.05,11.89,72
2022-02-05 07:19:19 UTC,187,23.87,6.86,438.75,3,0,511.52,11.9,72
2022-02-05 07:19:42 UTC,188,23.87,6.86,334.96,3,0,512.13,11.9,69
2022-02-05 07:20:05 UTC,189,23.87,6.89,282.29,3,0,512.54,4.11,69
2022-02-05 07:20:42 UTC,190,23.87,6.88,0,3,0,512.6,11.9,70
2022-02-05 07:21:04 UTC,191,23.87,6.8,334.96,2,0,512.6,4.14,67
